taxon	guid	mbNumber	taxonomicLevel	trophicMode	guild	confidenceRanking	growthForm	trait	notes	citationSource
Abrothallus halei	56DD8913-A780-43B9-BFD9-81C93E592E2E	518660	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Lobaria	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus hypotrachynae	D1752F20-64E5-4700-B348-86C5590DEEBE	371712	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Hypotrachyna	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus kamchatica	7CFF2F76-5841-434B-97C5-63EA5A06409F	810720	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Nephroma	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus macrosporus	B949C4CF-C18B-4E9F-8F3C-AB855B274B82	810726	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Durietzia	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus microspermus	1CB1AE65-36B9-11D5-9548-00D0592D548C	216226	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Flavoparmelia caperata	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus nephromatis	2978FA72-DAE8-493A-A6FD-533EAF552E74	809371	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Nephroma	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus parmeliarum	1CB1AE66-36B9-11D5-9548-00D0592D548C	216521	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Parmelia	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus parmotrematis	78E5C029-110C-4D31-A00F-2B78FFC2A3DB	563492	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Parmotrema	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus peyritschii	BF79391E-821D-4063-B875-18066AA682DD	228432	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Vulpicida	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus pezizicola	8858C715-C3EC-4094-8CA5-7D93EF9EB07B	484171	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Cladonia peziziformis	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus prodiens	A36738F0-CA9C-4F8E-AB35-72D15E661137	126687	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Hypogymnia	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus secedens	1F247D9D-555D-4383-B990-A08EE8FA0079	362548	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Pseudocyphellaria	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus stereocaulorum	9B53140D-E634-49C4-AB74-C0E5F528F7FB	371738	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Stereocaulon	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus stictarum	C29D77D7-5B0F-4EDD-90AF-930875514DC0	371740	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Sticta	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus stroblii	CAF3B0F9-EE22-4242-A4FC-3DB64883B0BA	511396	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Menegazzia terebrata	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus suecicus	21802A57-1302-4B04-A1CA-1D6C9EB7824C	325708	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Ramalina	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus teloschistis	4A919667-29CE-40D4-8CEC-0CD745F1C28D	812338	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Seirophora and Teloschistes	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus tulasnei	F54BC96A-289D-47D8-A814-C03D957F1B61	466494	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Xanthoparmelia	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus usneae	7144F6C9-596A-4998-9D7B-BCBE600D92E3	457669	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Usnea	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus usneae var. tetraspora	62A06EEE-04E4-4D7D-9FD1-4B70473EEEE8	511458	22	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Usnea	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Abrothallus welwitschii	899B79CF-1989-4898-99D0-3F92E10A9794	228963	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Sticta	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Absconditella	034FA789-5FA4-4399-BCCA-3E12AFB46E20	5	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Absidia	1CB1C272-36B9-11D5-9548-00D0592D548C	20001	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Absidia corymbifera	1CB1D1FD-36B9-11D5-9548-00D0592D548C	221175	20	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Probable	NULL	NULL	Opportunistic human pathogen	https://www.cdc.gov ((https://www.cdc.gov))
Abstoma	1CB1C273-36B9-11D5-9548-00D0592D548C	19001	13	Saprotroph	Undefined Saprotroph	Probable	Gasteroid	NULL	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf))
Abundisporus	AFBA9F0F-0B1F-4503-8712-3C09E0F3DFB0	27912	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acallomyces	641ED2E4-0316-4AD7-9AA0-776178AFBA9F	7	13	Pathotroph	Animal Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acantharia	1CB1C274-36B9-11D5-9548-00D0592D548C	8	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthobasidium	BDF28D05-08AF-428D-8B36-FFBEC6916AD7	17002	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthocorticium	75F553D1-2808-4498-A51B-887652A830BD	812888	13	Saprotroph	Undefined Saprotroph	Highly Probable	Corticioid	NULL	Dead unidentified hardwood (Baltazar et al. 2015)	Baltazar JM, et al. 2015. Botany 93:453-463 ((https://doi.org/10.1139/cjb-2015-0053))
Acanthocorticium brueggemannii	7BA05AE1-CCD6-493B-A681-E923BA878417	812889	20	Saprotroph	Undefined Saprotroph	Highly Probable	Corticioid	NULL	Dead unidentified hardwood (Baltazar et al. 2015)	Baltazar JM, et al. 2015. Botany 93:453-463 ((https://doi.org/10.1139/cjb-2015-0053))
Acanthodochium	333D7F02-CB6E-46CC-BAA5-893AC856F686	25086	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthofungus	5C6D55C0-89BB-45AF-B4AC-336CEF4EC915	28474	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthogymnomyces	FCBB0EAA-B3A2-497F-8700-9B3870B87ABE	28475	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acantholichen	EB8DE184-BA1B-429E-9373-002CBA98AF6E	27874	13	Symbiotroph	Lichenized	Probable	Thallus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthonitschkea	1CB17C20-36B9-11D5-9548-00D0592D548C	12	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthonitschkea peltigericola	5FC4B0B5-8691-450B-87B9-5ED6387A1B29	412369	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Peltigera	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Acanthophiobolus	C0A6C12B-8F28-4509-B7B3-DDA64F417DBC	13	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthophysellum	1D19EE21-EAE3-4954-8F33-D82E6D448901	17004	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthophysium	1CB1C275-36B9-11D5-9548-00D0592D548C	17005	13	Saprotroph	Undefined Saprotroph	Probable	NULL	White Rot	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthorhynchus	45AD3B9B-D271-449D-B27C-3F1CC86E40A1	14	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Acanthorhynchus vaccinii	2FDC430D-F5D4-48E1-8B66-73A5DBF0AECB	233277	20	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
Acanthorus	AD96434F-2630-45BF-9D9E-D2F4BA268671	7003	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthosphaeria	B51558BE-2726-40A3-9F82-1BA97CAF5BAF	15	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthostigma	1CB17C32-36B9-11D5-9548-00D0592D548C	16	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthostigmina	9AEB58CF-AFEC-408D-9725-1641B0128E74	19	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acanthothecis	74E324DC-1E6C-4A41-BFFE-7103F100921F	24	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Acanthotrema	54DF0599-A51F-4F86-8939-CD69F2859E6F	29035	13	Symbiotroph	Lichenized	Probable	Thallus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acarella	BA6AE4C0-8603-4E0C-B049-E3352B6095D2	7005	13	Symbiotroph	Endophyte	Probable	Microfungus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acaroconium	21973482-A451-4A25-B092-806EFB903E01	511401	13	Pathotroph	Lichen Parasite	Possible	Microfungus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Acaroconium punctiforme	3526D0A0-F9DA-4B9E-8137-829141E97C0F	511574	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Acarospora and Sarcogyne	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Acaromyces ingoldii	6506EA06-4363-499A-9D57-EE0704F42362	488275	20	Pathotroph	Animal Pathogen	Highly Probable	Yeast	NULL	An anamorphic fungus isolated from cadavers of the citrus rust mite infesting grapefruit (C. paradisi) leaves - similar to the yeast-like fungi classified in the Ustilaginales, such as Pseudozyma species (Boekhout et al. 2003)	Boekhout T, et al. 2003. International Journal of Systematic and Evolutionary Microbiology 53:1655-1664 ((https://doi.org/10.1099/ijs.0.02434-0))
Acarospora	8040FFEF-2165-455E-A3F4-03A61DB99A01	28	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Acarospora laqueata	41004A7F-76E1-49BC-BCED-214043412637	375609	20	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Flagey, C. 1892. Revue Mycologique 14:70-79 ((https://bibdigital.rjb.csic.es/records/item/11207-revue-mycologique-quatorzieme-annee-1892))
Acarospora schleicheri	E3C7D35B-3D65-4F8E-B740-9C74E0903050	375710	20	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University ((http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm))
Acarosporaceae	1CB1CE7B-36B9-11D5-9548-00D0592D548C	80424	9	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	Lichenized with green algae, usually on rocks and often in nutrient-enriched habitats (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
Acarosporina	1CB1C439-36B9-11D5-9548-00D0592D548C	29	13	Symbiotroph	Lichenized	Probable	Thallus	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acarosporina microspora	709058CB-1297-4A4A-AA60-36F277CDC02F	308073	20	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	James TY, et al. 2006. Nature 443:818-822 ((https://doi.org/10.1038/nature05110))
Acarosporium	ABD2FF0F-54D2-468F-857C-375F80351C3F	7010	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acarosporium lichenicola	B05DF61D-CA7F-4123-A0E6-FD23C38D80D5	443429	20	Pathotroph	Lichen Parasite	Highly Probable	Microfungus	NULL	Lichen parasite on Icmadophila	Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
Acaulopage	1CB1CEF4-36B9-11D5-9548-00D0592D548C	20002	13	Pathotroph	Animal Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acaulospora	1CB17C36-36B9-11D5-9548-00D0592D548C	20003	13	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	NULL	NULL	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
Acaulosporaceae	1CB1CCA9-36B9-11D5-9548-00D0592D548C	82037	9	Symbiotroph	Arbuscular Mycorrhizal	Highly Probable	NULL	NULL	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
Acephala	6A3BA4F4-3199-4257-A267-588F857B5F5E	28956	13	Symbiotroph	Ectomycorrhizal	Possible	NULL	NULL	NULL	Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (as ECM/not ECM)
Acerviclypeatus	A6122669-7A8D-4EE0-B91E-1D05BEEE701E	11251	13	Pathotroph	Plant Pathogen	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Acervuloseptoria	A40B77CE-A4FB-44C5-8730-9984A8FD14F5	808951	13	Pathotroph	Plant Pathogen	Highly Probable	Microfungus	NULL	Foliicolous (Crous et al. 2014)	Crous PW, et al. 2014. Persoonia 32:184-306 ((https://doi.org/10.3767/003158514X682395))
Acervuloseptoria capensis	DDD9466F-8C30-47FC-A9E9-4FD16B916312	812521	20	Pathotroph	Plant Pathogen	Highly Probable	Microfungus	NULL	Host - Ziziphus mucronata (Rhamnaceae)-Foliicolous (Crous et al. 2015)	Crous PW, et al. 2015. Sydowia 67:81-118 ((https://doi.org/10.12905/0380.sydowia67-2015-0081))
Acervuloseptoria ziziphicola	EF465B53-1E2A-45AC-BF24-A7ED486A0B7F	808952	20	Pathotroph	Plant Pathogen	Highly Probable	Microfungus	NULL	Host - Ziziphus mucronata (Rhamnaceae)-Foliicolous (Crous et al. 2014)	Crous PW, et al. 2014. Persoonia 32:184-306 ((https://doi.org/10.3767/003158514X682395))
Acervus	BBDAE385-4D19-4FB3-9E0B-927B5320699A	34	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Achaetobotrys	A5F3F40E-B1D0-4A35-B2A2-DE7879F0363D	36	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Achaetomium	78F3587B-E67F-4EE7-BEE2-499DB5F70692	38	13	Saprotroph-Symbiotroph	Endophyte-Undefined Saprotroph	Probable	Microfungus	NULL	Endophyte detection method-culture (Massimo et al. 2015)	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Massimo NC, et al. 2015. Microbial Ecology 70:61-76 ((https://doi.org/10.1007/s00248-014-0563-6))
Achaetomium strumarium	8A037202-989B-45C8-83B7-F30A937474D7	325766	20	Symbiotroph	Endophyte	Probable	Microfungus	NULL	Endophyte detection method-culture (Massimo et al. 2015)	Massimo NC, et al. 2015. Microbial Ecology 70:61-76 ((https://doi.org/10.1007/s00248-014-0563-6))
Achorodothis	1CB1C43D-36B9-11D5-9548-00D0592D548C	40	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
Achroceratosphaeria	9DA023A3-4640-474A-939B-49009EFD6F45	515196	13	Saprotroph	Undefined Saprotroph	Highly Probable	Microfungus	NULL	Saprobic on wood or submerged decorticated wood (Réblová et al. 2015)	Réblová M, et al. 2010. Fungal Diversity 43:75-84 ((https://doi.org/10.1007/s13225-010-0032-6)); Réblová M, et al. 2015 Persoonia 34:40-49 ((https://doi.org/10.3767/003158515X685544)).
Achroceratosphaeria incolorata	0DEF1EE8-8D65-4F30-9F67-B8579A743E5A	515198	20	Saprotroph	Undefined Saprotroph	Highly Probable	Microfungus	NULL	Saprobic on Sambucus nigra wood (Réblová et al. 2010)	Réblová M, et al. 2010. Fungal Diversity 43:75-84 ((https://doi.org/10.1007/s13225-010-0032-6))
Achroceratosphaeria potamia	6D68A604-4BC7-4102-A7CE-66FB7D7EBCDA	515197	20	Saprotroph	Undefined Saprotroph	Highly Probable	Microfungus	NULL	Saprobic on submerged wood of Platanus sp. in fresh water (Réblová et al. 2010)	Réblová M, et al. 2010. Fungal Diversity 43:75-84 ((https://doi.org/10.1007/s13225-010-0032-6))
