qseqid,qlen,sseqid,pident,evalue,bitscore,qcovs,length,ssciname
ZOTU-V7_1,223,gi|299789623|gb|GU067959.1|,100.000,4.01e-111,412,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789611|gb|GU067947.1|,100.000,4.01e-111,412,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789605|gb|GU067941.1|,100.000,4.01e-111,412,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789599|gb|GU067935.1|,100.000,4.01e-111,412,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789573|gb|GU067909.1|,100.000,4.01e-111,412,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789571|gb|GU067907.1|,100.000,4.01e-111,412,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|223035696|gb|FJ355421.1|,100.000,4.01e-111,412,100,223,uncultured eukaryote
ZOTU-V7_1,223,gi|37811498|gb|AY339161.1|,100.000,4.01e-111,412,100,223,Skistodiaptomus pygmaeus
ZOTU-V7_1,223,gi|37811497|gb|AY339160.1|,100.000,4.01e-111,412,100,223,Skistodiaptomus pallidus
ZOTU-V7_1,223,gi|37811495|gb|AY339158.1|,100.000,4.01e-111,412,100,223,Skistodiaptomus mississippiensis
ZOTU-V7_1,223,gi|37811494|gb|AY339157.1|,100.000,4.01e-111,412,100,223,Onychodiaptomus sanguineus
ZOTU-V7_1,223,gi|37811492|gb|AY339155.1|,100.000,4.01e-111,412,100,223,Leptodiaptomus sicilis
ZOTU-V7_1,223,gi|37811487|gb|AY339150.1|,100.000,4.01e-111,412,100,223,Hesperodiaptomus shoshone
ZOTU-V7_1,223,gi|37811486|gb|AY339149.1|,100.000,4.01e-111,412,100,223,Eudiaptomus graciloides
ZOTU-V7_1,223,gi|37811485|gb|AY339148.1|,100.000,4.01e-111,412,100,223,Eudiaptomus gracilis
ZOTU-V7_1,223,gi|37811484|gb|AY339147.1|,100.000,4.01e-111,412,100,223,Arctodiaptomus dorsalis
ZOTU-V7_1,223,gi|37811483|gb|AY339146.1|,100.000,4.01e-111,412,100,223,Aglaodiaptomus leptopus
ZOTU-V7_1,223,gi|37811482|gb|AY339145.1|,100.000,4.01e-111,412,100,223,Aglaodiaptomus clavipoides
ZOTU-V7_1,223,gi|37811481|gb|AY339144.1|,100.000,4.01e-111,412,100,223,Aglaodiaptomus spatulocrenatus
ZOTU-V7_1,223,gi|1372261903|gb|MH145356.1|,99.552,1.86e-109,407,100,223,Heliodiaptomus viduus
ZOTU-V7_1,223,gi|1004168810|gb|KR048711.1|,99.552,1.86e-109,407,100,223,Sinodiaptomus sarsi
ZOTU-V7_1,223,gi|1004168809|gb|KR048710.1|,99.552,1.86e-109,407,100,223,Neodiaptomus schmackeri
ZOTU-V7_1,223,gi|1004168808|gb|KR048709.1|,99.552,1.86e-109,407,100,223,Heliodiaptomus kikuchii
ZOTU-V7_1,223,gi|1004168807|gb|KR048708.1|,99.552,1.86e-109,407,100,223,Acanthodiaptomus pacificus
ZOTU-V7_1,223,gi|585113514|gb|KF910081.1|,99.552,1.86e-109,407,100,223,uncultured metazoan
ZOTU-V7_1,223,gi|299789645|gb|GU067981.1|,99.552,1.86e-109,407,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789635|gb|GU067971.1|,99.552,1.86e-109,407,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789633|gb|GU067969.1|,99.552,1.86e-109,407,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789632|gb|GU067968.1|,99.552,1.86e-109,407,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789631|gb|GU067967.1|,99.552,1.86e-109,407,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789619|gb|GU067955.1|,99.552,1.86e-109,407,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789616|gb|GU067952.1|,99.552,1.86e-109,407,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789600|gb|GU067936.1|,99.552,1.86e-109,407,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789587|gb|GU067923.1|,99.552,1.86e-109,407,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|37811496|gb|AY339159.1|,99.552,1.86e-109,407,100,223,Skistodiaptomus oregonensis
ZOTU-V7_1,223,gi|37811493|gb|AY339156.1|,99.552,1.86e-109,407,100,223,Mastigodiaptomus nesus
ZOTU-V7_1,223,gi|299789613|gb|GU067949.1|,99.552,6.71e-109,405,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|299789626|gb|GU067962.1|,99.103,8.68e-108,401,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|197253353|gb|EU910598.1|,99.103,8.68e-108,401,100,223,Arthropoda environmental sample
ZOTU-V7_1,223,gi|37811491|gb|AY339154.1|,99.103,8.68e-108,401,100,223,Leptodiaptomus moorei
ZOTU-V7_1,223,gi|37811490|gb|AY339153.1|,99.103,8.68e-108,401,100,223,Leptodiaptomus minutus
ZOTU-V7_1,223,gi|37811488|gb|AY339151.1|,99.103,8.68e-108,401,100,223,Leptodiaptomus ashlandi
ZOTU-V7_1,223,gi|585113511|gb|KF910078.1|,99.099,3.12e-107,399,99,222,uncultured metazoan
ZOTU-V7_1,223,gi|299789578|gb|GU067914.1|,98.655,4.04e-106,396,100,223,Eudiaptomus environmental sample
ZOTU-V7_1,223,gi|197253350|gb|EU910595.1|,98.655,4.04e-106,396,100,223,Arthropoda environmental sample
ZOTU-V7_1,223,gi|585113509|gb|KF910076.1|,98.206,1.88e-104,390,100,223,uncultured metazoan
ZOTU-V7_1,223,gi|521764632|gb|KC815329.1|,98.206,1.88e-104,390,100,223,Pseudodiaptomus euryhalinus
ZOTU-V7_1,223,gi|37811489|gb|AY339152.1|,98.206,6.75e-104,388,100,223,Leptodiaptomus coloradensis
ZOTU-V7_1,223,gi|1004168812|gb|KR048713.1|,97.309,4.07e-101,379,100,223,Pseudodiaptomus nihonkaiensis
ZOTU-V7_1,223,gi|585113516|gb|KF910083.1|,97.309,4.07e-101,379,100,223,uncultured metazoan
ZOTU-V7_1,223,gi|88697768|gb|DQ374194.1|,97.321,4.07e-101,379,100,224,uncultured bacterium
ZOTU-V7_1,223,gi|418206690|gb|JX945125.1|,96.875,1.89e-99,374,100,224,Calanipeda aquaedulcis
ZOTU-V7_1,223,gi|585113512|gb|KF910079.1|,96.413,3.16e-97,366,100,223,uncultured metazoan
ZOTU-V7_1,223,gi|88697740|gb|DQ374166.1|,95.217,1.90e-94,357,100,230,uncultured bacterium
ZOTU-V7_1,223,gi|1304471875|gb|MG660998.1|,94.170,1.92e-89,340,100,223,Spinocalanus magnus
ZOTU-V7_1,223,gi|1304471874|gb|MG660997.1|,94.170,1.92e-89,340,100,223,Spinocalanus antarcticus
ZOTU-V7_1,223,gi|1304471851|gb|MG660974.1|,94.170,1.92e-89,340,100,223,Spinocalanus antarcticus
ZOTU-V7_1,223,gi|1304471850|gb|MG660973.1|,94.170,1.92e-89,340,100,223,Spinocalanus antarcticus
ZOTU-V7_1,223,gi|1134783975|gb|KU247643.1|,94.170,1.92e-89,340,100,223,Spinocalanus antarcticus
ZOTU-V7_1001,222,gi|682124614|gb|KM091948.1|,94.643,1.48e-90,344,100,224,Eudiaptomus graciloides
ZOTU-V7_1001,222,gi|585113512|gb|KF910079.1|,94.619,1.48e-90,344,100,223,uncultured metazoan
ZOTU-V7_1001,222,gi|418206687|gb|JX945122.1|,94.643,1.48e-90,344,100,224,Hemidiaptomus gurneyi canaanita
ZOTU-V7_1001,222,gi|418206700|gb|JX945135.1|,94.643,1.48e-90,344,100,224,Arctodiaptomus cf. stephanidesi FM-2012
ZOTU-V7_1001,222,gi|418206699|gb|JX945134.1|,94.643,1.48e-90,344,100,224,Copidodiaptomus numidicus
ZOTU-V7_1001,222,gi|418206698|gb|JX945133.1|,94.643,1.48e-90,344,100,224,Diaptomus mirus
ZOTU-V7_1001,222,gi|418206697|gb|JX945132.1|,94.643,1.48e-90,344,100,224,Diaptomus cyaneus
ZOTU-V7_1001,222,gi|418206696|gb|JX945131.1|,94.643,1.48e-90,344,100,224,Arctodiaptomus wierzejskii
ZOTU-V7_1001,222,gi|418206695|gb|JX945130.1|,94.643,1.48e-90,344,100,224,Arctodiaptomus salinus
ZOTU-V7_1001,222,gi|418206694|gb|JX945129.1|,94.643,1.48e-90,344,100,224,Hemidiaptomus ignatovi
ZOTU-V7_1001,222,gi|418206692|gb|JX945127.1|,94.643,1.48e-90,344,100,224,Hemidiaptomus hungaricus
ZOTU-V7_1001,222,gi|418206691|gb|JX945126.1|,94.643,1.48e-90,344,100,224,Hemidiaptomus superbus
ZOTU-V7_1001,222,gi|418206689|gb|JX945124.1|,94.643,1.48e-90,344,100,224,Diaptomus kenitraensis
ZOTU-V7_1001,222,gi|418206688|gb|JX945123.1|,94.643,1.48e-90,344,100,224,Diaptomus castor
ZOTU-V7_1001,222,gi|418206686|gb|JX945121.1|,94.643,1.48e-90,344,100,224,Eudiaptomus vulgaris
ZOTU-V7_1001,222,gi|1885997855|gb|MT847600.1|,94.643,1.48e-90,344,100,224,Eudiaptomus padanus
ZOTU-V7_1001,222,gi|1885730187|gb|MT840103.1|,94.643,1.48e-90,344,100,224,Calanoida sp. A986C
ZOTU-V7_1001,222,gi|330434664|gb|HM135097.1|,94.643,1.48e-90,344,100,224,uncultured metazoan
ZOTU-V7_1001,222,gi|330434663|gb|HM135096.1|,94.643,1.48e-90,344,100,224,uncultured metazoan
ZOTU-V7_1001,222,gi|330434662|gb|HM135095.1|,94.643,1.48e-90,344,100,224,uncultured metazoan
ZOTU-V7_1001,222,gi|299789655|gb|GU067991.1|,94.643,1.48e-90,344,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789648|gb|GU067984.1|,94.643,1.48e-90,344,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789647|gb|GU067983.1|,94.643,1.48e-90,344,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789632|gb|GU067968.1|,94.643,1.48e-90,344,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789623|gb|GU067959.1|,94.643,1.48e-90,344,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789611|gb|GU067947.1|,94.643,1.48e-90,344,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789605|gb|GU067941.1|,94.643,1.48e-90,344,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789599|gb|GU067935.1|,94.643,1.48e-90,344,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789573|gb|GU067909.1|,94.643,1.48e-90,344,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789571|gb|GU067907.1|,94.643,1.48e-90,344,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|223035696|gb|FJ355421.1|,94.643,1.48e-90,344,100,224,uncultured eukaryote
ZOTU-V7_1001,222,gi|37811498|gb|AY339161.1|,94.643,1.48e-90,344,100,224,Skistodiaptomus pygmaeus
ZOTU-V7_1001,222,gi|37811497|gb|AY339160.1|,94.643,1.48e-90,344,100,224,Skistodiaptomus pallidus
ZOTU-V7_1001,222,gi|37811495|gb|AY339158.1|,94.643,1.48e-90,344,100,224,Skistodiaptomus mississippiensis
ZOTU-V7_1001,222,gi|37811494|gb|AY339157.1|,94.643,1.48e-90,344,100,224,Onychodiaptomus sanguineus
ZOTU-V7_1001,222,gi|37811492|gb|AY339155.1|,94.643,1.48e-90,344,100,224,Leptodiaptomus sicilis
ZOTU-V7_1001,222,gi|37811487|gb|AY339150.1|,94.643,1.48e-90,344,100,224,Hesperodiaptomus shoshone
ZOTU-V7_1001,222,gi|37811486|gb|AY339149.1|,94.643,1.48e-90,344,100,224,Eudiaptomus graciloides
ZOTU-V7_1001,222,gi|37811485|gb|AY339148.1|,94.643,1.48e-90,344,100,224,Eudiaptomus gracilis
ZOTU-V7_1001,222,gi|37811484|gb|AY339147.1|,94.643,1.48e-90,344,100,224,Arctodiaptomus dorsalis
ZOTU-V7_1001,222,gi|37811483|gb|AY339146.1|,94.643,1.48e-90,344,100,224,Aglaodiaptomus leptopus
ZOTU-V7_1001,222,gi|37811482|gb|AY339145.1|,94.643,1.48e-90,344,100,224,Aglaodiaptomus clavipoides
ZOTU-V7_1001,222,gi|37811481|gb|AY339144.1|,94.643,1.48e-90,344,100,224,Aglaodiaptomus spatulocrenatus
ZOTU-V7_1001,222,gi|299789578|gb|GU067914.1|,94.222,1.91e-89,340,100,225,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|1372261903|gb|MH145356.1|,94.196,6.86e-89,339,100,224,Heliodiaptomus viduus
ZOTU-V7_1001,222,gi|1004168810|gb|KR048711.1|,94.196,6.86e-89,339,100,224,Sinodiaptomus sarsi
ZOTU-V7_1001,222,gi|1004168809|gb|KR048710.1|,94.196,6.86e-89,339,100,224,Neodiaptomus schmackeri
ZOTU-V7_1001,222,gi|1004168808|gb|KR048709.1|,94.196,6.86e-89,339,100,224,Heliodiaptomus kikuchii
ZOTU-V7_1001,222,gi|1004168807|gb|KR048708.1|,94.196,6.86e-89,339,100,224,Acanthodiaptomus pacificus
ZOTU-V7_1001,222,gi|585113516|gb|KF910083.1|,94.170,6.86e-89,339,100,223,uncultured metazoan
ZOTU-V7_1001,222,gi|585113514|gb|KF910081.1|,94.196,6.86e-89,339,100,224,uncultured metazoan
ZOTU-V7_1001,222,gi|299789645|gb|GU067981.1|,94.196,6.86e-89,339,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789635|gb|GU067971.1|,94.196,6.86e-89,339,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789633|gb|GU067969.1|,94.196,6.86e-89,339,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789631|gb|GU067967.1|,94.196,6.86e-89,339,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789619|gb|GU067955.1|,94.196,6.86e-89,339,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789616|gb|GU067952.1|,94.196,6.86e-89,339,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789613|gb|GU067949.1|,94.196,6.86e-89,339,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789600|gb|GU067936.1|,94.196,6.86e-89,339,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|299789587|gb|GU067923.1|,94.196,6.86e-89,339,100,224,Eudiaptomus environmental sample
ZOTU-V7_1001,222,gi|37811496|gb|AY339159.1|,94.196,6.86e-89,339,100,224,Skistodiaptomus oregonensis
ZOTU-V7_1001,222,gi|37811493|gb|AY339156.1|,94.196,6.86e-89,339,100,224,Mastigodiaptomus nesus
ZOTU-V7_10031,454,gi|7208196|gb|AF144208.1|AF144208,94.989,0.0,708,100,459,Ceriodaphnia dubia
ZOTU-V7_1006,373,gi|3249671|gb|AF070505.1|AF070505,98.361,8.40e-180,641,98,366,Holopedium gibberum
ZOTU-V7_10130,373,gi|3249671|gb|AF070505.1|AF070505,99.705,3.93e-173,619,91,339,Holopedium gibberum
ZOTU-V7_10327,480,gi|3249663|gb|AF070497.1|AF070497,97.763,0.0,763,93,447,Daphnia galeata
ZOTU-V7_10668,373,gi|3249671|gb|AF070505.1|AF070505,97.814,1.82e-176,630,98,366,Holopedium gibberum
ZOTU-V7_10691,223,gi|682124614|gb|KM091948.1|,95.067,8.86e-93,351,100,223,Eudiaptomus graciloides
ZOTU-V7_10691,223,gi|418206687|gb|JX945122.1|,95.067,8.86e-93,351,100,223,Hemidiaptomus gurneyi canaanita
ZOTU-V7_10691,223,gi|418206700|gb|JX945135.1|,95.067,8.86e-93,351,100,223,Arctodiaptomus cf. stephanidesi FM-2012
ZOTU-V7_10691,223,gi|418206699|gb|JX945134.1|,95.067,8.86e-93,351,100,223,Copidodiaptomus numidicus
ZOTU-V7_10691,223,gi|418206698|gb|JX945133.1|,95.067,8.86e-93,351,100,223,Diaptomus mirus
ZOTU-V7_10691,223,gi|418206697|gb|JX945132.1|,95.067,8.86e-93,351,100,223,Diaptomus cyaneus
ZOTU-V7_10691,223,gi|418206696|gb|JX945131.1|,95.067,8.86e-93,351,100,223,Arctodiaptomus wierzejskii
ZOTU-V7_10691,223,gi|418206695|gb|JX945130.1|,95.067,8.86e-93,351,100,223,Arctodiaptomus salinus
ZOTU-V7_10691,223,gi|418206694|gb|JX945129.1|,95.067,8.86e-93,351,100,223,Hemidiaptomus ignatovi
ZOTU-V7_10691,223,gi|418206692|gb|JX945127.1|,95.067,8.86e-93,351,100,223,Hemidiaptomus hungaricus
ZOTU-V7_10691,223,gi|418206691|gb|JX945126.1|,95.067,8.86e-93,351,100,223,Hemidiaptomus superbus
ZOTU-V7_10691,223,gi|418206689|gb|JX945124.1|,95.067,8.86e-93,351,100,223,Diaptomus kenitraensis
ZOTU-V7_10691,223,gi|418206688|gb|JX945123.1|,95.067,8.86e-93,351,100,223,Diaptomus castor
ZOTU-V7_10691,223,gi|418206686|gb|JX945121.1|,95.067,8.86e-93,351,100,223,Eudiaptomus vulgaris
ZOTU-V7_10691,223,gi|1885997855|gb|MT847600.1|,95.067,8.86e-93,351,100,223,Eudiaptomus padanus
ZOTU-V7_10691,223,gi|1885730187|gb|MT840103.1|,95.067,8.86e-93,351,100,223,Calanoida sp. A986C
ZOTU-V7_10691,223,gi|330434664|gb|HM135097.1|,95.067,8.86e-93,351,100,223,uncultured metazoan
ZOTU-V7_10691,223,gi|330434663|gb|HM135096.1|,95.067,8.86e-93,351,100,223,uncultured metazoan
ZOTU-V7_10691,223,gi|330434662|gb|HM135095.1|,95.067,8.86e-93,351,100,223,uncultured metazoan
ZOTU-V7_10691,223,gi|299789655|gb|GU067991.1|,95.067,8.86e-93,351,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789648|gb|GU067984.1|,95.067,8.86e-93,351,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789647|gb|GU067983.1|,95.067,8.86e-93,351,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789631|gb|GU067967.1|,95.067,8.86e-93,351,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789623|gb|GU067959.1|,95.067,8.86e-93,351,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789611|gb|GU067947.1|,95.067,8.86e-93,351,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789605|gb|GU067941.1|,95.067,8.86e-93,351,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789599|gb|GU067935.1|,95.067,8.86e-93,351,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789573|gb|GU067909.1|,95.067,8.86e-93,351,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789571|gb|GU067907.1|,95.067,8.86e-93,351,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|223035696|gb|FJ355421.1|,95.067,8.86e-93,351,100,223,uncultured eukaryote
ZOTU-V7_10691,223,gi|37811498|gb|AY339161.1|,95.067,8.86e-93,351,100,223,Skistodiaptomus pygmaeus
ZOTU-V7_10691,223,gi|37811497|gb|AY339160.1|,95.067,8.86e-93,351,100,223,Skistodiaptomus pallidus
ZOTU-V7_10691,223,gi|37811495|gb|AY339158.1|,95.067,8.86e-93,351,100,223,Skistodiaptomus mississippiensis
ZOTU-V7_10691,223,gi|37811494|gb|AY339157.1|,95.067,8.86e-93,351,100,223,Onychodiaptomus sanguineus
ZOTU-V7_10691,223,gi|37811492|gb|AY339155.1|,95.067,8.86e-93,351,100,223,Leptodiaptomus sicilis
ZOTU-V7_10691,223,gi|37811487|gb|AY339150.1|,95.067,8.86e-93,351,100,223,Hesperodiaptomus shoshone
ZOTU-V7_10691,223,gi|37811486|gb|AY339149.1|,95.067,8.86e-93,351,100,223,Eudiaptomus graciloides
ZOTU-V7_10691,223,gi|37811485|gb|AY339148.1|,95.067,8.86e-93,351,100,223,Eudiaptomus gracilis
ZOTU-V7_10691,223,gi|37811484|gb|AY339147.1|,95.067,8.86e-93,351,100,223,Arctodiaptomus dorsalis
ZOTU-V7_10691,223,gi|37811483|gb|AY339146.1|,95.067,8.86e-93,351,100,223,Aglaodiaptomus leptopus
ZOTU-V7_10691,223,gi|37811482|gb|AY339145.1|,95.067,8.86e-93,351,100,223,Aglaodiaptomus clavipoides
ZOTU-V7_10691,223,gi|37811481|gb|AY339144.1|,95.067,8.86e-93,351,100,223,Aglaodiaptomus spatulocrenatus
ZOTU-V7_10691,223,gi|1372261903|gb|MH145356.1|,94.619,4.12e-91,346,100,223,Heliodiaptomus viduus
ZOTU-V7_10691,223,gi|1004168810|gb|KR048711.1|,94.619,4.12e-91,346,100,223,Sinodiaptomus sarsi
ZOTU-V7_10691,223,gi|1004168809|gb|KR048710.1|,94.619,4.12e-91,346,100,223,Neodiaptomus schmackeri
ZOTU-V7_10691,223,gi|1004168808|gb|KR048709.1|,94.619,4.12e-91,346,100,223,Heliodiaptomus kikuchii
ZOTU-V7_10691,223,gi|1004168807|gb|KR048708.1|,94.619,4.12e-91,346,100,223,Acanthodiaptomus pacificus
ZOTU-V7_10691,223,gi|585113514|gb|KF910081.1|,94.619,4.12e-91,346,100,223,uncultured metazoan
ZOTU-V7_10691,223,gi|299789645|gb|GU067981.1|,94.619,4.12e-91,346,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789635|gb|GU067971.1|,94.619,4.12e-91,346,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789633|gb|GU067969.1|,94.619,4.12e-91,346,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789632|gb|GU067968.1|,94.619,4.12e-91,346,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789619|gb|GU067955.1|,94.619,4.12e-91,346,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789616|gb|GU067952.1|,94.619,4.12e-91,346,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789600|gb|GU067936.1|,94.619,4.12e-91,346,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789587|gb|GU067923.1|,94.619,4.12e-91,346,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789578|gb|GU067914.1|,94.619,4.12e-91,346,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|37811496|gb|AY339159.1|,94.619,4.12e-91,346,100,223,Skistodiaptomus oregonensis
ZOTU-V7_10691,223,gi|37811493|gb|AY339156.1|,94.619,4.12e-91,346,100,223,Mastigodiaptomus nesus
ZOTU-V7_10691,223,gi|299789613|gb|GU067949.1|,94.619,1.48e-90,344,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|299789626|gb|GU067962.1|,94.170,1.92e-89,340,100,223,Eudiaptomus environmental sample
ZOTU-V7_10691,223,gi|197253353|gb|EU910598.1|,94.170,1.92e-89,340,100,223,Arthropoda environmental sample
ZOTU-V7_10691,223,gi|37811491|gb|AY339154.1|,94.170,1.92e-89,340,100,223,Leptodiaptomus moorei
ZOTU-V7_10691,223,gi|37811490|gb|AY339153.1|,94.170,1.92e-89,340,100,223,Leptodiaptomus minutus
ZOTU-V7_10691,223,gi|37811488|gb|AY339151.1|,94.170,1.92e-89,340,100,223,Leptodiaptomus ashlandi
ZOTU-V7_10691,223,gi|585113511|gb|KF910078.1|,94.144,6.90e-89,339,99,222,uncultured metazoan
ZOTU-V7_10867,373,gi|3249671|gb|AF070505.1|AF070505,98.361,8.40e-180,641,98,366,Holopedium gibberum
ZOTU-V7_10909,373,gi|3249671|gb|AF070505.1|AF070505,98.087,1.40e-177,634,98,366,Holopedium gibberum
ZOTU-V7_11176,373,gi|3249671|gb|AF070505.1|AF070505,97.808,6.54e-176,628,98,365,Holopedium gibberum
ZOTU-V7_11874,223,gi|682124614|gb|KM091948.1|,95.964,4.09e-96,363,100,223,Eudiaptomus graciloides
ZOTU-V7_11874,223,gi|418206687|gb|JX945122.1|,95.964,4.09e-96,363,100,223,Hemidiaptomus gurneyi canaanita
ZOTU-V7_11874,223,gi|418206700|gb|JX945135.1|,95.964,4.09e-96,363,100,223,Arctodiaptomus cf. stephanidesi FM-2012
ZOTU-V7_11874,223,gi|418206699|gb|JX945134.1|,95.964,4.09e-96,363,100,223,Copidodiaptomus numidicus
ZOTU-V7_11874,223,gi|418206698|gb|JX945133.1|,95.964,4.09e-96,363,100,223,Diaptomus mirus
