"","trophic_level","taxa","fish","term","Value","Std.Error","DF","t.value","p.value"
"24","Heterotrophic protists and rotifers","Cercozoa","Fish","Fish",-0.0146017046809047,0.0160202336213421,355,-0.911453916717692,0.36267474843019
"25","Heterotrophic protists and rotifers","Cercozoa","Fish","Nitrogen deposition",-0.0181408412591834,0.00784974297836824,355,-2.31101085846691,0.0214046229221462
"26","Heterotrophic protists and rotifers","Ciliophora","Fishless","Air temperature",0.0337138327345529,0.0265058301326959,218,1.27194026996218,0.204749512700219
"27","Heterotrophic protists and rotifers","Ciliophora","Fishless","Nitrogen deposition",-0.00724889636801873,0.0206300278860838,218,-0.351375984950004,0.725645662991753
"28","Heterotrophic protists and rotifers","Ciliophora","Fish","Air temperature",0.0101560377855731,0.0163928131979421,355,0.619542092192454,0.53595671677403
"29","Heterotrophic protists and rotifers","Ciliophora","Fish","Fish",0.0974149269966477,0.0254389459042613,355,3.82936177321443,0.000151853702866592
"30","Heterotrophic protists and rotifers","Ciliophora","Fish","Nitrogen deposition",0.0392636889602778,0.0126498029985363,355,3.10389726739784,0.00206322671538788
"31","Heterotrophic protists and rotifers","Eumycetozoa","Fishless","Air temperature",0.00015479527965396,0.0100677313201114,218,0.0153753884298381,0.987746760402532
"32","Heterotrophic protists and rotifers","Eumycetozoa","Fishless","Nitrogen deposition",-0.00739270142904838,0.008829202045965,218,-0.837301195573715,0.403340260129682
"33","Heterotrophic protists and rotifers","Eumycetozoa","Fish","Air temperature",-0.00223850089201907,0.00665484715819452,355,-0.336371495664279,0.736789481920692
"34","Heterotrophic protists and rotifers","Eumycetozoa","Fish","Fish",-0.0188857858102625,0.0124527717014658,355,-1.51659295320089,0.130259421121957
"35","Heterotrophic protists and rotifers","Eumycetozoa","Fish","Nitrogen deposition",-0.0146323465593547,0.00595604796230836,355,-2.45672074032187,0.0144991101994369
"36","Heterotrophic protists and rotifers","Evosea","Fishless","Air temperature",0.00729500323466087,0.00212820388612728,218,3.42777460477985,0.000727424159005993
"37","Heterotrophic protists and rotifers","Evosea","Fishless","Nitrogen deposition",-6.87282129209986e-05,0.00145160580654194,218,-0.0473463337024842,0.962280546081348
"38","Heterotrophic protists and rotifers","Evosea","Fish","Air temperature",0.000663469132782538,0.00641577506978349,355,0.103412156063153,0.917694258462631
"39","Heterotrophic protists and rotifers","Evosea","Fish","Fish",-0.00886700484644974,0.0107028456610471,355,-0.828471709979068,0.407960048884385
"40","Heterotrophic protists and rotifers","Evosea","Fish","Nitrogen deposition",-0.00171154791068273,0.00518797814410041,355,-0.3299065383745,0.741665168153779
"41","Heterotrophic protists and rotifers","Perkinsea","Fishless","Air temperature",0.000781871009426416,0.00660640191281209,218,0.118350506031142,0.905898918859538
"42","Heterotrophic protists and rotifers","Perkinsea","Fishless","Nitrogen deposition",-0.0125741452941283,0.00391505568000183,218,-3.21174111478343,0.00151879979526276
"43","Heterotrophic protists and rotifers","Perkinsea","Fish","Air temperature",-0.0254138393413646,0.0120781309804876,355,-2.10412019727399,0.0360707744048579
"44","Heterotrophic protists and rotifers","Perkinsea","Fish","Fish",-0.0368137289628787,0.019939188300978,355,-1.84630028099354,0.065680875471397
"45","Heterotrophic protists and rotifers","Perkinsea","Fish","Nitrogen deposition",-0.00906917102549179,0.00971605679761117,355,-0.933420956094203,0.351237089942835
"46","Heterotrophic protists and rotifers","Rotifera","Fishless","Air temperature",-0.0283890106151335,0.017142909532392,218,-1.65602055832423,0.0991563367541145
"47","Heterotrophic protists and rotifers","Rotifera","Fishless","Nitrogen deposition",0.0127588294199187,0.0131818636796431,218,0.967907856581937,0.334162974790201
"48","Heterotrophic protists and rotifers","Rotifera","Fish","Air temperature",0.00235989034059985,0.0199434567226921,355,0.118329052651876,0.905873863113648
"49","Heterotrophic protists and rotifers","Rotifera","Fish","Fish",-0.00417223132626672,0.0355056849635618,355,-0.11750882515148,0.90652330557993
"50","Heterotrophic protists and rotifers","Rotifera","Fish","Nitrogen deposition",0.0292729889909449,0.0170410322546409,355,1.71779435385863,0.0867061488901906
"51","Zooplankton","Bosmina","Fishless","Air temperature",9.73838133382602e-05,0.000120548442781149,218,0.807839662558366,0.420063498232962
"52","Zooplankton","Bosmina","Fishless","Nitrogen deposition",-2.57454328867727e-05,6.8163733908113e-05,218,-0.377699861945333,0.706021045470705
"53","Zooplankton","Bosmina","Fish","Air temperature",-0.00122375561895788,0.00427590138781757,355,-0.286198279138166,0.774893201511625
"54","Zooplankton","Bosmina","Fish","Fish",0.00356070979886216,0.00839078663582197,355,0.424359473480206,0.671560720327787
"55","Zooplankton","Bosmina","Fish","Nitrogen deposition",0.00541444440685273,0.00404767388401057,355,1.33766814274274,0.181860960516545
"56","Zooplankton","Chydoridae","Fishless","Air temperature",0.0126498689494122,0.00393108549727489,218,3.21790735871334,0.00148798582579995
"57","Zooplankton","Chydoridae","Fishless","Nitrogen deposition",0.00158681050898548,0.00252213778508804,218,0.629152982191291,0.52990763765905
"58","Zooplankton","Chydoridae","Fish","Air temperature",0.031718987192502,0.00799597778970286,355,3.96686784615002,8.81161245895241e-05
"59","Zooplankton","Chydoridae","Fish","Fish",-0.0017252576738785,0.009857456257211,355,-0.175020576187333,0.861163243948017
"60","Zooplankton","Chydoridae","Fish","Nitrogen deposition",0.000990827732127755,0.00544951130925049,355,0.181819557002448,0.855828108389455
"61","Zooplankton","Cyclopidae","Fishless","Air temperature",0.00112800152009465,0.000728028672862647,218,1.54939161346392,0.122738100153908
"62","Zooplankton","Cyclopidae","Fishless","Nitrogen deposition",0.000677440679355736,0.000466051639349018,218,1.45357428696525,0.147502424728871
"63","Zooplankton","Cyclopidae","Fish","Air temperature",0.0136473713036711,0.0133761869911949,355,1.02027366338813,0.308293476442641
"64","Zooplankton","Cyclopidae","Fish","Fish",0.0388943875072825,0.0223718496251328,355,1.73854143305112,0.0829824379380876
"65","Zooplankton","Cyclopidae","Fish","Nitrogen deposition",-0.00725688543696083,0.0106846188397458,355,-0.679189922055609,0.4974601051316
"66","Zooplankton","Daphnia pulex","Fishless","Air temperature",0.01407125141536,0.0138719287957088,218,1.01436877470946,0.311531303520089
"67","Zooplankton","Daphnia pulex","Fishless","Nitrogen deposition",0.0357676705092199,0.0120066932237989,218,2.97897762877155,0.00321972369562664
"68","Zooplankton","Daphnia pulex","Fish","Air temperature",-0.00375081010483077,0.003133601649762,355,-1.19696455518386,0.232119071708835
"69","Zooplankton","Daphnia pulex","Fish","Fish",0.00708022619251701,0.00356403053515137,355,1.98657843211108,0.0477375930354259
"70","Zooplankton","Daphnia pulex","Fish","Nitrogen deposition",-0.000258513651403441,0.00206830215713126,355,-0.124988339112888,0.900603528640954
"71","Zooplankton","Daphnia spp.","Fishless","Air temperature",-0.000290723537571861,0.00464669988429352,218,-0.0625655938216595,0.950169754270513
"72","Zooplankton","Daphnia spp.","Fishless","Nitrogen deposition",-0.00100225903721687,0.00264031950354368,218,-0.379597634252861,0.704613637273251
"73","Zooplankton","Daphnia spp.","Fish","Air temperature",-0.023064668195354,0.0212044024871564,355,-1.08773016402251,0.277452181161567
"74","Zooplankton","Daphnia spp.","Fish","Fish",0.118861242251798,0.0388025744326595,355,3.06323082913165,0.00235687368466
"75","Zooplankton","Daphnia spp.","Fish","Nitrogen deposition",0.0708677010650498,0.0186047613780806,355,3.80911636676745,0.000164305082735216
"76","Zooplankton","Hesperodiaptomus","Fishless","Air temperature",-0.111134639965951,0.0341479893765473,218,-3.25450025008728,0.00131674241894467
"77","Zooplankton","Hesperodiaptomus","Fishless","Nitrogen deposition",-0.0378107640619918,0.0219656670422061,218,-1.72135742517357,0.0866046263177788
"78","Zooplankton","Hesperodiaptomus","Fish","Air temperature",0.0147734238552619,0.0321071895848506,355,0.460128215713797,0.645705884737837
"79","Zooplankton","Hesperodiaptomus","Fish","Fish",-0.329243197274518,0.052480999059099,355,-6.27356954283123,1.02706674661775e-09
"80","Zooplankton","Hesperodiaptomus","Fish","Nitrogen deposition",-0.038267278740622,0.0256812193751809,355,-1.49008807493015,0.137088996610401
"81","Zooplankton","Holopedium","Fishless","Air temperature",0.0238466235009166,0.0192213977811143,218,1.24062899964261,0.216076344384854
"82","Zooplankton","Holopedium","Fishless","Nitrogen deposition",0.00269908832961487,0.0106923727222843,218,0.252431186203378,0.800945642896536
"83","Zooplankton","Holopedium","Fish","Air temperature",-0.0170479984255495,0.0205999908976996,355,-0.827573104775173,0.408468263346742
"84","Zooplankton","Holopedium","Fish","Fish",0.0511675597412305,0.0376692935569421,355,1.3583360586225,0.175219636558867
"85","Zooplankton","Holopedium","Fish","Nitrogen deposition",0.00907565093680828,0.0181148273713366,355,0.501006758207856,0.616676865338103
"86","Zooplankton","Leptodiaptomus","Fishless","Air temperature",0.011739916987308,0.015673573048877,218,0.749026208044448,0.454648844493154
"87","Zooplankton","Leptodiaptomus","Fishless","Nitrogen deposition",0.0175613109171645,0.0149772262134179,218,1.17253426415043,0.242262315162699
"88","Zooplankton","Leptodiaptomus","Fish","Air temperature",0.00740428193160637,0.0170509109343243,355,0.434245534454185,0.664373956599308
"89","Zooplankton","Leptodiaptomus","Fish","Fish",0.0267430507407524,0.0256067339989173,355,1.04437569984064,0.297022231009772
"90","Zooplankton","Leptodiaptomus","Fish","Nitrogen deposition",-0.0633800296577481,0.0129045340067739,355,-4.911454348098,1.38205273727313e-06
